sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,sy_dist
1,1,0,Imaging,2004,Ground,134.8460000
1,4,0,Radial Velocity,2019,Ground,62.5388000
1,4,0,Radial Velocity,2019,Ground,62.5388000
1,4,0,Radial Velocity,2019,Ground,62.5388000
1,4,0,Radial Velocity,2019,Ground,62.5388000
1,1,0,Radial Velocity,2019,Ground,137.9400000
2,1,0,Radial Velocity,2019,Ground,45.2300000
2,1,0,Radial Velocity,2019,Ground,45.2300000
1,1,0,Radial Velocity,2023,Multiple Locales,25.3284000
2,1,0,Eclipse Timing Variations,2009,Ground,305.6840000
2,1,0,Eclipse Timing Variations,2009,Ground,305.6840000
2,1,0,Transit,2019,Space,44.0622000
2,1,0,Transit,2019,Space,44.0622000
2,1,0,Transit,2019,Space,44.0622000
1,1,0,Transit,2020,Space,
1,1,0,Transit,2019,Space,159.2590000
1,1,0,Transit,2019,Space,159.2590000
1,1,0,Transit,2021,Space,706.3910000
1,1,0,Transit,2019,Space,253.0260000
1,1,0,Transit,2021,Space,232.1000000
1,1,0,Transit,2021,Space,232.1000000
1,1,0,Transit,2021,Space,232.1000000
1,2,0,Transit,2019,Space,476.8820000
1,3,0,Transit,2019,Space,334.9670000
1,1,0,Transit,2020,Space,
1,2,0,Transit,2019,Space,257.4430000
1,2,0,Transit,2019,Space,257.4430000
1,1,0,Transit,2019,Space,436.4880000
1,1,0,Transit,2019,Space,436.4880000
1,1,0,Transit,2019,Space,436.4880000
1,2,0,Transit,2019,Space,243.9350000
1,2,0,Transit,2019,Space,243.9350000
1,2,0,Transit,2019,Space,243.9350000
1,3,0,Transit,2019,Space,369.8880000
1,3,0,Transit,2019,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,3,0,Transit,2021,Space,369.8880000
1,1,0,Transit,2019,Space,161.3650000
1,2,0,Transit,2019,Space,451.7690000
1,2,0,Transit,2019,Space,451.7690000
1,2,0,Transit,2019,Space,451.7690000
1,2,0,Transit,2021,Space,451.7690000
1,2,0,Transit,2021,Space,451.7690000
1,1,0,Transit,2019,Space,109.8880000
1,1,0,Transit,2019,Space,109.8880000
1,1,0,Transit,2019,Space,109.8880000
1,2,0,Transit,2019,Space,314.3500000
1,2,0,Transit,2019,Space,314.3500000
1,2,0,Transit,2022,Space,314.3500000
1,2,0,Transit,2022,Space,314.3500000
1,2,0,Transit,2022,Space,314.3500000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2016,Space,186.1970000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,1,0,Transit,2018,Space,181.6900000
1,2,0,Transit,2019,Space,418.3950000
1,2,0,Transit,2019,Space,418.3950000
1,2,0,Transit,2019,Space,418.3950000
1,2,0,Transit,2016,Space,418.3950000
1,2,0,Transit,2016,Space,418.3950000
1,2,0,Transit,2016,Space,418.3950000
1,1,0,Transit,2019,Space,611.8040000
1,1,0,Transit,2019,Space,611.8040000
1,1,0,Transit,2019,Space,283.2900000
1,2,0,Transit,2019,Space,320.0700000
1,2,0,Transit,2019,Space,320.0700000
1,2,0,Transit,2019,Space,320.0700000
1,2,0,Transit,2016,Space,320.0700000
1,2,0,Transit,2016,Space,320.0700000
